2015-09-03 10:53:34,192 [WebSocket Server main] INFO  c.p.iot.api.storage.RedisService - register Server{address='VRANAU5', port=8086, minClientVersionSupported=1.0.0} in storage
2015-09-03 10:53:34,220 [WebSocket Server main] INFO  c.p.iot.api.balancing.LoadBalancer - registered Server{address='VRANAU5', port=8086, minClientVersionSupported=1.0.0} in load balancer
2015-09-03 10:53:35,141 [WebSocket Server main] INFO  c.platform.iot.api.WebSocketServer - Web socket server started at port 8086.
2015-09-03 10:53:35,141 [WebSocket Server main] INFO  c.platform.iot.api.WebSocketServer - Open your browser and navigate to http://localhost:8086/
2015-09-03 10:53:38,231 [org.springframework.jms.listener.DefaultMessageListenerContainer#0-1] ERROR  o.s.j.l.DefaultMessageListenerContainer - Could not refresh JMS Connection for destination 'com.platform.iot.producer.event.queue' - retrying in 5000 ms. Cause: Cannot send, channel has already failed: tcp://127.0.0.1:61616
2015-09-03 10:53:43,234 [org.springframework.jms.listener.DefaultMessageListenerContainer#0-1] ERROR  o.s.j.l.DefaultMessageListenerContainer - Could not refresh JMS Connection for destination 'com.platform.iot.producer.event.queue' - retrying in 5000 ms. Cause: Cannot send, channel has already failed: tcp://127.0.0.1:61616
2015-09-03 10:53:44,222 [pool-1-thread-1] INFO  c.p.iot.api.storage.RedisService - notify that Server{address='VRANAU5', port=8086, minClientVersionSupported=1.0.0} is alive
2015-09-03 10:53:48,236 [org.springframework.jms.listener.DefaultMessageListenerContainer#0-1] ERROR  o.s.j.l.DefaultMessageListenerContainer - Could not refresh JMS Connection for destination 'com.platform.iot.producer.event.queue' - retrying in 5000 ms. Cause: Cannot send, channel has already failed: tcp://127.0.0.1:61616
2015-09-03 10:53:53,239 [org.springframework.jms.listener.DefaultMessageListenerContainer#0-1] ERROR  o.s.j.l.DefaultMessageListenerContainer - Could not refresh JMS Connection for destination 'com.platform.iot.producer.event.queue' - retrying in 5000 ms. Cause: Cannot send, channel has already failed: tcp://127.0.0.1:61616
2015-09-03 10:53:54,222 [pool-1-thread-1] INFO  c.p.iot.api.storage.RedisService - notify that Server{address='VRANAU5', port=8086, minClientVersionSupported=1.0.0} is alive
2015-09-03 10:53:58,242 [org.springframework.jms.listener.DefaultMessageListenerContainer#0-1] ERROR  o.s.j.l.DefaultMessageListenerContainer - Could not refresh JMS Connection for destination 'com.platform.iot.producer.event.queue' - retrying in 5000 ms. Cause: Cannot send, channel has already failed: tcp://127.0.0.1:61616
2015-09-03 10:54:03,245 [org.springframework.jms.listener.DefaultMessageListenerContainer#0-1] ERROR  o.s.j.l.DefaultMessageListenerContainer - Could not refresh JMS Connection for destination 'com.platform.iot.producer.event.queue' - retrying in 5000 ms. Cause: Cannot send, channel has already failed: tcp://127.0.0.1:61616
2015-09-03 10:54:04,222 [pool-1-thread-1] INFO  c.p.iot.api.storage.RedisService - notify that Server{address='VRANAU5', port=8086, minClientVersionSupported=1.0.0} is alive
